route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_desc,route_url,continuous_pickup,continuous_drop_off,competent_authority,contract
1c0dd63b119d1166fdd4e14e6bf8d7f7,LAANE_VIRUMAA_10230847,26,Rakvere - Vinni - Pajusti - Rakvere,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi,,,,Lääne-Virumaa,Lääne-Virumaa
bec231458f05e825d1a0906d72e960bb,LAANE_VIRUMAA_10230847,25,Rakvere - Viitna - Võsu - Käsmu,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi,,,,Lääne-Virumaa,Lääne-Virumaa
154eb359fc6a3a8deede127199b24020,LAANE_VIRUMAA_10230847,28,Kunda - Karepa - Vainupea - Rakvere,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
a4a6c48266679ae8cee3f26b822ade5c,LAANE_VIRUMAA_10230847,23,Lasila - Karitsa - Tõrma - Järni - Lasila,3,3bb5db,000000,Liin on käigus koolipäevadel,,,,Lääne-Virumaa,Lääne-Virumaa
26b7fed53da2f941b00b7fada564792f,LAANE_VIRUMAA_10230847,37,Lepna - Rakvere,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
8e736abb81436530512c7ed407418872,LAANE_VIRUMAA_10230847,6,Kadrina - Viitna - Läsna,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
29e886c82af6bbd07c1a2c2587aba9c1,LAANE_VIRUMAA_10230847,52A,Tamsalu - Vajangu,3,3bb5db,000000,Liin ei ole käigus riigipühadel<br>Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
822c99d2adbb1232b091a9f4d0a55131,LAANE_VIRUMAA_10230847,55,Rakvere - Vinni - Tudu - Tudulinna,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi,,,,Lääne-Virumaa,Lääne-Virumaa
e511f4cf8621406204188d8ecb235313,LAANE_VIRUMAA_10230847,56,Aseri - Rannu - Viru-Nigula - Rakvere,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi,,,,Lääne-Virumaa,Lääne-Virumaa
c173491edeafa990d741b72255fcc38c,LAANE_VIRUMAA_10230847,59,Väike-Maarja - Kiltsi - Aavere - Väike-Maarja,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi,,,,Lääne-Virumaa,Lääne-Virumaa
398c8032f2cb350c7670b1bdf48091a4,LAANE_VIRUMAA_10230847,54,Rakvere - Viru-Kabala - Kiviõli,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
